user_id,Precision@5 - macro,Recall@5 - macro,F1@5 - macro,NDCG@5
1,0.6,0.42857142857142855,0.5,0.8436747254174131
10,0.6,0.09090909090909091,0.15789473684210525,0.84
100,1.0,0.4166666666666667,0.5882352941176471,0.7675263737244715
1000,1.0,0.4166666666666667,0.5882352941176471,0.9242533463908505
1001,1.0,0.09090909090909091,0.16666666666666669,0.8661688975939004
1002,0.2,0.25,0.22222222222222224,0.9515243919322686
1003,0.4,0.6666666666666666,0.5,0.9411639852314456
1004,0.8,0.0975609756097561,0.1739130434782609,0.9351785105389245
1005,1.0,0.35714285714285715,0.5263157894736842,0.7999999999999999
1006,0.8,0.6666666666666666,0.7272727272727272,0.8705739716053578
1007,0.4,0.6666666666666666,0.5,0.8456035908138086
1008,0.2,0.5,0.28571428571428575,0.9435940346209757
1009,1.0,0.7142857142857143,0.8333333333333333,0.9643723534168002
101,0.6,0.2,0.3,0.9199999999999998
1010,0.8,0.044444444444444446,0.08421052631578947,0.9804298482320873
1011,0.8,0.8,0.8000000000000002,0.9499999999999998
1012,0.8,0.6666666666666666,0.7272727272727272,0.8763235918948596
1013,0.6,0.6,0.6,0.88
1014,0.8,0.8,0.8000000000000002,0.8504839383418636
1015,1.0,0.03289473684210526,0.06369426751592357,0.7999999999999999
1016,1.0,0.19230769230769232,0.32258064516129037,0.9175490612632397
1017,1.0,0.11363636363636363,0.20408163265306123,0.8948703089546531
1018,0.6,0.3,0.4,0.9333333333333332
1019,1.0,0.03937007874015748,0.07575757575757576,0.9175490612632397
102,0.8,0.3333333333333333,0.47058823529411764,0.8399906604684578
1020,0.4,0.5,0.4444444444444445,0.9392566795674426
1021,1.0,0.22727272727272727,0.37037037037037035,0.9999999999999999
1022,0.8,0.23529411764705882,0.3636363636363636,0.7999999999999999
1023,0.8,0.5714285714285714,0.6666666666666666,0.8215585301252004
1024,0.8,0.6666666666666666,0.7272727272727272,0.8539779344052337
1025,0.6,0.75,0.6666666666666665,0.977595620353216
1026,0.8,0.6666666666666666,0.7272727272727272,0.8999999999999999
1027,1.0,1.0,1.0,1.0
1028,0.6,0.6,0.6,0.9199999999999998
1029,0.2,0.037037037037037035,0.0625,0.8
103,0.4,0.2,0.26666666666666666,0.84
1030,0.8,0.19047619047619047,0.3076923076923077,0.8436747254174131
1031,0.6,0.3,0.4,0.9107792650626002
1032,0.4,0.2857142857142857,0.3333333333333333,0.7999999999999999
1033,1.0,0.2631578947368421,0.4166666666666667,0.7733836680895384
1034,0.8,0.1,0.1777777777777778,0.6873494508348261
1035,0.8,0.36363636363636365,0.5000000000000001,0.9714285714285712
1036,0.0,0.0,0.0,0.7684314558598129
1037,0.6,0.75,0.6666666666666665,0.9438588152193256
1038,1.0,0.45454545454545453,0.625,0.9666666666666666
1039,0.4,1.0,0.5714285714285715,0.7288050356802014
104,0.8,0.6666666666666666,0.7272727272727272,0.8469683642429905
1040,0.6,0.1875,0.2857142857142857,0.9553896325312999
1041,0.6,0.42857142857142855,0.5,0.7999999999999999
1042,0.4,0.5,0.4444444444444445,0.7193834986279432
1043,0.6,0.6,0.6,0.8130855598558143
1044,0.6,0.2,0.3,0.9286176761602537
1045,0.8,0.8,0.8000000000000002,0.8823706949320783
1046,0.4,1.0,0.5714285714285715,0.9719705792069783
1047,0.4,0.2222222222222222,0.2857142857142857,0.8056005495709423
1048,0.8,0.5,0.6153846153846154,0.9687499999999999
1049,0.6,0.6,0.6,0.8333333333333334
105,0.6,0.375,0.4615384615384615,0.8999999999999999
1050,1.0,0.06097560975609756,0.11494252873563218,0.9489894547476635
1051,0.8,0.04040404040404041,0.07692307692307693,0.8571428571428571
1052,0.8,0.5714285714285714,0.6666666666666666,0.96
1053,0.6,0.08571428571428572,0.15,0.8341269885220958
1054,0.8,0.3333333333333333,0.47058823529411764,0.9333333333333332
1055,1.0,0.4166666666666667,0.5882352941176471,0.8621564093151176
1056,0.6,0.42857142857142855,0.5,0.8526551529497642
1057,1.0,0.23809523809523808,0.3846153846153846,0.8721299879445926
1058,1.0,0.08928571428571429,0.1639344262295082,0.88
1059,0.8,0.056338028169014086,0.10526315789473684,0.9238516483070585
