ID,NDCG@5 | Test Ratings,NDCG@10 | Test Ratings,NDCG@10 | All Items,NDCG@20 | All Items
Centroid Vector + Doc2Vec,,,-37.0,-30.0
Centroid Vector + GensimRandomIndexing,,,36.0,42.0
Centroid Vector + Word2Vec,,,-88.0,-87.0
Logistic Regression + Doc2Vec,,,,
Logistic Regression + GensimRandomIndexing,,,-49.0,-43.0
Random Forest + Doc2Vec,,,30.0,31.0
Random Forest + GensimRandomIndexing,,,50.0,35.0
SVC + Doc2Vec,,,,
SVC + GensimRandomIndexing,,,60.0,48.0
