ID,F1@5 | Test Ratings,F1@10 | Test Ratings,F1@10 | All Items,F1@20 | All Items
Centroid Vector + Doc2Vec,,,-65,-24
Centroid Vector + GensimRandomIndexing,,,110,84
Centroid Vector + Word2Vec,,,-85,-90
Logistic Regression + Doc2Vec,,,-38,-9
Logistic Regression + GensimRandomIndexing,,,-45,-35
Random Forest + Doc2Vec,,,41,29
Random Forest + GensimRandomIndexing,,,64,22
SVC + Doc2Vec,,,-31,-11
SVC + GensimRandomIndexing,,,49,34
