ID,Recall@5 | Test Ratings,Recall@10 | Test Ratings,Recall@10 | All Items,Recall@20 | All Items
Centroid Vector + Doc2Vec,,,-70,-21
Centroid Vector + GensimRandomIndexing,,,129,96
Centroid Vector + Word2Vec,,,-74,-85
Logistic Regression + Doc2Vec,,,-52,-14
Logistic Regression + GensimRandomIndexing,,,-40,-30
Random Forest + Doc2Vec,,,34,18
Random Forest + GensimRandomIndexing,,,82,30
SVC + Doc2Vec,,,-36,-15
SVC + GensimRandomIndexing,,,27,22
