ID,CatalogCoverage - Top 5 | Test Ratings,CatalogCoverage - Top 10 | Test Ratings,CatalogCoverage - Top 10 | All Items,CatalogCoverage - Top 20 | All Items
Centroid Vector + GensimRandomIndexing,,,-43.0,-32.0
Centroid Vector + SK-TFIDF,-5.0,,-38.0,-27.0
Centroid Vector + Sentence2Doc-Sbert,-10.0,,-37.0,-31.0
Logistic Regression + GensimRandomIndexing,,,,
Logistic Regression + SK-TFIDF,,,28.0,17.0
Logistic Regression + Sentence2Doc-Sbert,,,16.0,13.0
Random Forest + GensimRandomIndexing,,,-8.0,
Random Forest + SK-TFIDF,,,13.0,11.0
Random Forest + Sentence2Doc-Sbert,,,-11.0,-5.0
SVC + GensimRandomIndexing,5.0,,22.0,16.0
SVC + SK-TFIDF,,,25.0,16.0
SVC + Sentence2Doc-Sbert,,,29.0,19.0
