ID,NDCG@5 | Test Ratings,NDCG@10 | Test Ratings,NDCG@10 | All Items,NDCG@20 | All Items
Centroid Vector + Doc2Vec,,,75.0,75.0
Centroid Vector + SK-TFIDF,,,79.0,79.0
Centroid Vector + Word2Vec,,,58.0,61.0
Logistic Regression + Doc2Vec,,,-66.0,-63.0
Logistic Regression + SK-TFIDF,,,-5.0,-7.0
Logistic Regression + Word2Vec,,,-74.0,-71.0
Random Forest + Doc2Vec,,,,
Random Forest + SK-TFIDF,,,34.0,32.0
Random Forest + Word2Vec,,,39.0,36.0
SVC + SK-TFIDF,,,9.0,6.0
SVC + Word2Vec,,,-51.0,-49.0
