ID,F1@5 | Test Ratings,F1@10 | Test Ratings,F1@10 | All Items,F1@20 | All Items
Centroid Vector + Doc2Vec,0.38322,0.50763,0.01378,0.01918
Centroid Vector + SK-TFIDF,0.38545,0.50955,0.01596,0.02224
Centroid Vector + Word2Vec,0.38323,0.50774,0.01301,0.01772
Logistic Regression + Doc2Vec,0.3882,0.51487,0.00119,0.00354
Logistic Regression + SK-TFIDF,0.40513,0.52984,0.00668,0.00905
Logistic Regression + Word2Vec,0.39517,0.52162,0.00113,0.00249
Random Forest + Doc2Vec,0.39988,0.52271,0.0,0.0
Random Forest + SK-TFIDF,0.40139,0.52443,0.01105,0.01432
Random Forest + Word2Vec,0.40045,0.52354,0.01151,0.0149
SVC + SK-TFIDF,0.38538,0.51395,0.00765,0.01013
SVC + Word2Vec,0.37399,0.50606,0.00266,0.0044
