ID,CatalogCoverage - Top 5 | Test Ratings,CatalogCoverage - Top 10 | Test Ratings,CatalogCoverage - Top 10 | All Items,CatalogCoverage - Top 20 | All Items
Centroid Vector + GensimRandomIndexing,50.3,63.91,28.18,42.51
Centroid Vector + SK-TFIDF,49.41,63.67,30.8,45.96
Centroid Vector + Sentence2Doc-Sbert,46.79,62.72,31.45,43.4
Logistic Regression + GensimRandomIndexing,52.73,64.27,52.02,64.39
Logistic Regression + SK-TFIDF,52.97,63.61,64.45,74.44
Logistic Regression + Sentence2Doc-Sbert,52.44,63.5,58.68,71.7
Random Forest + GensimRandomIndexing,54.22,65.64,46.02,62.96
Random Forest + SK-TFIDF,54.04,63.73,56.9,70.39
Random Forest + Sentence2Doc-Sbert,52.44,64.33,44.59,59.99
SVC + GensimRandomIndexing,55.59,66.23,61.65,73.42
SVC + SK-TFIDF,55.11,65.64,63.32,73.72
SVC + Sentence2Doc-Sbert,53.92,64.68,65.22,75.56
