ID,Precision@5 | Test Items,Precision@10 | Test Items,Precision@10 | All Items,Precision@20 | All Items
Centroid Vector + SK-TFIDF,0.01845,,,
Centroid Vector + SK-TFIDF,,0.01622,,
Centroid Vector + Word2Vec,0.56145,,,
Logistic Regression + Word2Vec,0.01485,,,
Random Forest + Word2Vec,0.02078,,,
SVC + Word2Vec,0.0176,,,
Centroid Vector + Word2Vec,,0.56033,,
Logistic Regression + Word2Vec,,0.01527,,
Random Forest + Word2Vec,,0.01654,,
SVC + Word2Vec,,0.01591,,
Centroid Vector + Word2Vec,,,0.00106,
Logistic Regression + Word2Vec,,,0.01294,
Random Forest + Word2Vec,,,0.01357,
SVC + Word2Vec,,,0.01379,
Centroid Vector + Doc2Vec,0.00509,,,
Logistic Regression + Doc2Vec,0.0053,,,
Random Forest + Doc2Vec,0.01209,,,
SVC + Doc2Vec,0.00594,,,
Centroid Vector + Doc2Vec,,0.00573,,
Logistic Regression + Doc2Vec,,0.0053,,
Random Forest + Doc2Vec,,0.01241,,
SVC + Doc2Vec,,0.007,,
Centroid Vector + Doc2Vec,,,0.00371,
Logistic Regression + Doc2Vec,,,0.00371,
Random Forest + Doc2Vec,,,0.0106,
SVC + Doc2Vec,,,0.0053,
Centroid Vector + GensimLDA,0.00933,,,
Logistic Regression + GensimLDA,0.00615,,,
Random Forest + GensimLDA,0.0106,,,
SVC + GensimLDA,0.00997,,,
Centroid Vector + GensimLDA,,0.00944,,
Logistic Regression + GensimLDA,,0.00827,,
Random Forest + GensimLDA,,0.01029,,
SVC + GensimLDA,,0.01007,,
Centroid Vector + GensimLDA,,,0.00806,
Logistic Regression + GensimLDA,,,0.00573,
Random Forest + GensimLDA,,,0.00764,
SVC + GensimLDA,,,0.00774,
Centroid Vector + GensimRandomIndexing,0.0106,,,
Logistic Regression + GensimRandomIndexing,0.00424,,,
Random Forest + GensimRandomIndexing,0.01315,,,
SVC + GensimRandomIndexing,0.014,,,
Centroid Vector + GensimRandomIndexing,,0.01135,,
Logistic Regression + GensimRandomIndexing,,0.0071,,
Random Forest + GensimRandomIndexing,,0.01029,,
SVC + GensimRandomIndexing,,0.01092,,
Centroid Vector + GensimRandomIndexing,,,0.00933,
Logistic Regression + GensimRandomIndexing,,,0.00276,
Random Forest + GensimRandomIndexing,,,0.0087,
SVC + GensimRandomIndexing,,,0.00986,
Centroid Vector + GensimFastText,0.00191,,,
Logistic Regression + GensimFastText,0.00424,,,
Random Forest + GensimFastText,0.01145,,,
SVC + GensimFastText,0.00679,,,
Centroid Vector + GensimFastText,,0.0018,,
Logistic Regression + GensimFastText,,0.00657,,
Random Forest + GensimFastText,,0.01188,,
SVC + GensimFastText,,0.00785,,
Centroid Vector + GensimFastText,,,0.00095,
Logistic Regression + GensimFastText,,,0.00297,
Random Forest + GensimFastText,,,0.00944,
SVC + GensimFastText,,,0.00477,
Centroid Vector + GensimLatentSemanticAnalysis,0.01124,,,
Logistic Regression + GensimLatentSemanticAnalysis,0.01739,,,
Random Forest + GensimLatentSemanticAnalysis,0.01845,,,
SVC + GensimLatentSemanticAnalysis,0.01273,,,
Centroid Vector + GensimLatentSemanticAnalysis,,0.01209,,
Logistic Regression + GensimLatentSemanticAnalysis,,0.01389,,
Random Forest + GensimLatentSemanticAnalysis,,0.01453,,
SVC + GensimLatentSemanticAnalysis,,0.01368,,
Centroid Vector + GensimLatentSemanticAnalysis,,,0.01145,
Logistic Regression + GensimLatentSemanticAnalysis,,,0.0122,
Random Forest + GensimLatentSemanticAnalysis,,,0.01251,
SVC + GensimLatentSemanticAnalysis,,,0.01209,
Centroid Vector + Word2Doc-GloVe,0.00106,,,
Logistic Regression + Word2Doc-GloVe,0.01273,,,
Random Forest + Word2Doc-GloVe,0.01697,,,
SVC + Word2Doc-GloVe,0.01315,,,
Centroid Vector + Word2Doc-GloVe,,0.00244,,
Logistic Regression + Word2Doc-GloVe,,0.01304,,
Random Forest + Word2Doc-GloVe,,0.01559,,
SVC + Word2Doc-GloVe,,0.01156,,
Centroid Vector + Word2Doc-GloVe,,,0.00064,
Logistic Regression + Word2Doc-GloVe,,,0.01071,
Random Forest + Word2Doc-GloVe,,,0.01251,
SVC + Word2Doc-GloVe,,,0.01082,
Centroid Vector + Sentence2Doc-Sbert,0.00467,,,
Logistic Regression + Sentence2Doc-Sbert,0.01273,,,
Random Forest + Sentence2Doc-Sbert,0.01485,,,
SVC + Sentence2Doc-Sbert,0.01209,,,
Centroid Vector + Sentence2Doc-Sbert,,0.00382,,
Logistic Regression + Sentence2Doc-Sbert,,0.01485,,
Random Forest + Sentence2Doc-Sbert,,0.01177,,
SVC + Sentence2Doc-Sbert,,0.01188,,
Centroid Vector + Sentence2Doc-Sbert,,,0.00201,
Logistic Regression + Sentence2Doc-Sbert,,,0.01294,
Random Forest + Sentence2Doc-Sbert,,,0.00933,
SVC + Sentence2Doc-Sbert,,,0.01018,
