"ID (Field: description,genres,reviews)",DeltaGAP@5 | Blockbuster,DeltaGAP@5 | Niche,DeltaGAP@5 | Diverse
Centroid Vector + Doc2Vec,0.11111,0.04736,-0.09281
Centroid Vector + GensimFastText,0.08236,0.03112,-0.1275
Centroid Vector + GensimLDA,0.10586,0.05474,-0.11057
Centroid Vector + GensimLSA,0.14877,0.09266,-0.02066
Centroid Vector + GensimRandomIndexing,0.14927,0.11829,0.00069
Centroid Vector + SK-TFIDF,0.17631,0.09828,-0.07284
Centroid Vector + Sentence2Doc-Sbert,0.15034,0.08987,-0.04507
Centroid Vector + Word2Doc-GloVe,0.18241,0.15036,0.03153
Centroid Vector + Word2Vec,0.05203,-0.00808,-0.16783
Logistic Regression + Doc2Vec,0.16696,0.11666,-0.04156
Logistic Regression + GensimFastText,0.21662,0.17773,0.01439
Logistic Regression + GensimLDA,0.13136,0.07349,-0.06187
Logistic Regression + GensimLSA,0.17843,0.10998,0.0025
Logistic Regression + GensimRandomIndexing,0.15365,0.10813,-0.01245
Logistic Regression + SK-TFIDF,0.16348,0.08289,-0.07114
Logistic Regression + Sentence2Doc-Sbert,0.14417,0.07423,-0.05753
Logistic Regression + Word2Doc-GloVe,0.12776,0.05758,-0.08571
Logistic Regression + Word2Vec,0.19902,0.14219,-0.01186
Random Forest + Doc2Vec,0.14459,0.0708,-0.07652
Random Forest + GensimFastText,0.12027,0.05842,-0.10008
Random Forest + GensimLDA,0.12891,0.05163,-0.07842
Random Forest + GensimLSA,0.11535,0.04601,-0.09406
Random Forest + GensimRandomIndexing,0.11946,0.03794,-0.11418
Random Forest + SK-TFIDF,0.15317,0.08434,-0.0655
Random Forest + Sentence2Doc-Sbert,0.15594,0.07765,-0.0819
Random Forest + Word2Doc-GloVe,0.15848,0.0657,-0.07971
Random Forest + Word2Vec,0.14268,0.06948,-0.08929
SVC + Doc2Vec,0.14774,0.08345,-0.06999
SVC + GensimFastText,0.17061,0.11077,-0.03609
SVC + GensimLDA,0.10911,0.04555,-0.0991
SVC + GensimLSA,0.16494,0.08264,-0.05035
SVC + GensimRandomIndexing,0.14284,0.07301,-0.05679
SVC + SK-TFIDF,0.13632,0.06009,-0.10493
SVC + Sentence2Doc-Sbert,0.15217,0.07791,-0.08109
SVC + Word2Doc-GloVe,0.13018,0.04521,-0.09054
SVC + Word2Vec,0.16143,0.09326,-0.04859
