"ID (Field: description,genres,tags,reviews)",DeltaGAP@10 | Blockbuster,DeltaGAP@10 | Niche,DeltaGAP@10 | Diverse
Centroid Vector + Doc2Vec,0.29741,0.34733,0.1452
Centroid Vector + GensimFastText,0.15952,0.15036,0.1086
Centroid Vector + GensimLDA,0.07586,0.06462,0.01283
Centroid Vector + GensimLSA,0.07546,0.05072,0.00497
Centroid Vector + GensimRandomIndexing,0.09329,0.0773,0.03954
Centroid Vector + SK-TFIDF,0.2286,0.20002,0.08113
Centroid Vector + Sentence2Doc-Sbert,0.21815,0.23766,0.11147
Centroid Vector + Word2Doc-GloVe,0.1278,0.12091,0.08292
Centroid Vector + Word2Vec,0.18031,0.16008,0.11943
Logistic Regression + Doc2Vec,0.12422,0.09333,-2e-05
Logistic Regression + GensimFastText,0.14691,0.119,0.03421
Logistic Regression + GensimLDA,0.11341,0.09451,0.02787
Logistic Regression + GensimLSA,0.14397,0.11979,0.06173
Logistic Regression + GensimRandomIndexing,0.13079,0.11598,0.05565
Logistic Regression + SK-TFIDF,0.22545,0.17378,0.06678
Logistic Regression + Sentence2Doc-Sbert,0.18422,0.14088,0.06955
Logistic Regression + Word2Doc-GloVe,0.10204,0.07216,-0.00433
Logistic Regression + Word2Vec,0.14653,0.10048,0.02045
Random Forest + Doc2Vec,0.18488,0.14996,0.06009
Random Forest + GensimFastText,0.18883,0.14529,0.07069
Random Forest + GensimLDA,0.14971,0.11228,0.03803
Random Forest + GensimLSA,0.23348,0.16913,0.04762
Random Forest + GensimRandomIndexing,0.26709,0.20666,0.06544
Random Forest + SK-TFIDF,0.23353,0.1558,0.05638
Random Forest + Sentence2Doc-Sbert,0.21025,0.14421,0.06122
Random Forest + Word2Doc-GloVe,0.19292,0.16235,0.06923
Random Forest + Word2Vec,0.18168,0.1492,0.06308
SVC + Doc2Vec,0.19286,0.13905,0.04259
SVC + GensimFastText,0.15681,0.11297,0.02753
SVC + GensimLDA,0.08887,0.05844,-0.00352
SVC + GensimLSA,0.08474,0.06361,-0.01688
SVC + GensimRandomIndexing,0.07867,0.05447,-0.02071
SVC + SK-TFIDF,0.19696,0.1461,0.04028
SVC + Sentence2Doc-Sbert,0.22254,0.16083,0.05856
SVC + Word2Doc-GloVe,0.09232,0.06482,-0.01837
SVC + Word2Vec,0.16561,0.11323,0.02364
