"ID (Field: genres,tags,reviews)",Gini@5 (TR),Gini@10 (TR)
Centroid Vector + Doc2Vec,0.7644,0.744
Centroid Vector + GensimFastText,0.7624,0.742
Centroid Vector + GensimLDA,0.7088,0.6976
Centroid Vector + GensimLSA,0.7369,0.7185
Centroid Vector + GensimRandomIndexing,0.7479,0.7269
Centroid Vector + SK-TFIDF,0.7237,0.712
Centroid Vector + Sentence2Doc-Sbert,0.7437,0.7318
Centroid Vector + Word2Doc-GloVe,0.7368,0.7279
Centroid Vector + Word2Vec,0.7658,0.7451
Logistic Regression + Doc2Vec,0.6661,0.6798
Logistic Regression + GensimFastText,0.6888,0.6919
Logistic Regression + GensimLDA,0.6585,0.67
Logistic Regression + GensimLSA,0.6868,0.6828
Logistic Regression + GensimRandomIndexing,0.6814,0.6785
Logistic Regression + SK-TFIDF,0.7028,0.7034
Logistic Regression + Sentence2Doc-Sbert,0.6812,0.6882
Logistic Regression + Word2Doc-GloVe,0.6544,0.6696
Logistic Regression + Word2Vec,0.685,0.6908
Random Forest + Doc2Vec,0.6889,0.6935
Random Forest + GensimFastText,0.6979,0.6992
Random Forest + GensimLDA,0.6542,0.6686
Random Forest + GensimLSA,0.687,0.6976
Random Forest + GensimRandomIndexing,0.7047,0.7062
Random Forest + SK-TFIDF,0.6967,0.6994
Random Forest + Sentence2Doc-Sbert,0.6954,0.6984
Random Forest + Word2Doc-GloVe,0.696,0.6997
Random Forest + Word2Vec,0.6959,0.6977
SVC + Doc2Vec,0.6752,0.6926
SVC + GensimFastText,0.6675,0.6847
SVC + GensimLDA,0.6404,0.6562
SVC + GensimLSA,0.6381,0.6523
SVC + GensimRandomIndexing,0.6267,0.6444
SVC + SK-TFIDF,0.6774,0.6892
SVC + Sentence2Doc-Sbert,0.6892,0.6983
SVC + Word2Doc-GloVe,0.635,0.6578
SVC + Word2Vec,0.6723,0.6889
