ID (Field: genres),DeltaGAP@10 | Blockbuster,DeltaGAP@10 | Niche,DeltaGAP@10 | Diverse
Centroid Vector + Doc2Vec,0.08404,0.06219,0.0026
Centroid Vector + GensimFastText,0.07209,0.04635,-0.02233
Centroid Vector + GensimLDA,0.03221,0.01225,-0.10484
Centroid Vector + GensimLSA,0.05059,0.01136,-0.07212
Centroid Vector + GensimRandomIndexing,0.06348,0.02525,-0.06173
Centroid Vector + SK-TFIDF,0.06983,0.02376,-0.08689
Centroid Vector + Sentence2Doc-Sbert,0.04448,-0.00282,-0.10029
Centroid Vector + Word2Doc-GloVe,0.05284,0.02698,-0.02166
Centroid Vector + Word2Vec,0.07483,0.05279,-0.02194
Logistic Regression + Doc2Vec,0.05448,0.02333,-0.08342
Logistic Regression + GensimFastText,0.0454,0.02132,-0.10387
Logistic Regression + GensimLDA,0.05589,0.02778,-0.03391
Logistic Regression + GensimLSA,0.06143,0.03474,-0.02936
Logistic Regression + GensimRandomIndexing,0.06093,0.03342,-0.02956
Logistic Regression + SK-TFIDF,0.06011,0.02224,-0.05364
Logistic Regression + Sentence2Doc-Sbert,0.06204,0.0405,-0.02299
Logistic Regression + Word2Doc-GloVe,0.05422,0.02346,-0.06361
Logistic Regression + Word2Vec,0.04751,0.01711,-0.10034
Random Forest + Doc2Vec,0.07243,0.04511,-0.00826
Random Forest + GensimFastText,0.0674,0.05148,-0.00827
Random Forest + GensimLDA,0.05838,0.04019,-0.0188
Random Forest + GensimLSA,0.06829,0.05123,-0.01185
Random Forest + GensimRandomIndexing,0.07032,0.05008,-0.01302
Random Forest + SK-TFIDF,0.07949,0.05203,-0.01157
Random Forest + Sentence2Doc-Sbert,0.07044,0.0464,-0.00937
Random Forest + Word2Doc-GloVe,0.06903,0.04798,-0.00991
Random Forest + Word2Vec,0.07992,0.04471,-0.00663
SVC + Doc2Vec,0.07102,0.02893,-0.04901
SVC + GensimFastText,0.06758,0.03663,-0.05016
SVC + GensimLDA,0.05724,0.03279,-0.03445
SVC + GensimLSA,0.0634,0.0314,-0.03613
SVC + GensimRandomIndexing,0.06754,0.03622,-0.03653
SVC + SK-TFIDF,0.06462,0.0283,-0.03692
SVC + Sentence2Doc-Sbert,0.06296,0.0334,-0.04279
SVC + Word2Doc-GloVe,0.0653,0.03026,-0.04555
SVC + Word2Vec,0.06787,0.0355,-0.04535
