ID (Field: description),DeltaGAP@10 | Blockbuster,DeltaGAP@10 | Niche,DeltaGAP@10 | Diverse
Centroid Vector + Doc2Vec,0.07057,0.04081,-0.00885
Centroid Vector + GensimFastText,0.06971,0.04953,0.00385
Centroid Vector + GensimLDA,0.04005,0.02464,-0.02387
Centroid Vector + GensimLSA,0.04575,0.0261,-0.03133
Centroid Vector + GensimRandomIndexing,0.03901,0.01755,-0.04206
Centroid Vector + SK-TFIDF,0.08212,0.05574,-0.003
Centroid Vector + Sentence2Doc-Sbert,0.06627,0.05775,0.01797
Centroid Vector + Word2Doc-GloVe,0.07053,0.04664,0.01327
Centroid Vector + Word2Vec,0.06965,0.05051,-0.00017
Logistic Regression + Doc2Vec,0.04467,0.02409,-0.03647
Logistic Regression + GensimFastText,0.05282,0.03277,-0.02928
Logistic Regression + GensimLDA,0.0496,0.0306,-0.01986
Logistic Regression + GensimLSA,0.05089,0.03302,-0.01168
Logistic Regression + GensimRandomIndexing,0.04932,0.04101,-0.01404
Logistic Regression + SK-TFIDF,0.05973,0.04615,-0.0191
Logistic Regression + Sentence2Doc-Sbert,0.0438,0.01983,-0.04158
Logistic Regression + Word2Doc-GloVe,0.05023,0.03323,-0.04291
Logistic Regression + Word2Vec,0.0591,0.03124,-0.02183
Random Forest + Doc2Vec,0.04607,0.03122,-0.02841
Random Forest + GensimFastText,0.04662,0.03791,-0.02047
Random Forest + GensimLDA,0.06468,0.04274,-0.01578
Random Forest + GensimLSA,0.04204,0.02356,-0.04116
Random Forest + GensimRandomIndexing,0.04015,0.02081,-0.04838
Random Forest + SK-TFIDF,0.04603,0.03038,-0.02973
Random Forest + Sentence2Doc-Sbert,0.05836,0.03368,-0.01824
Random Forest + Word2Doc-GloVe,0.05562,0.03331,-0.02274
Random Forest + Word2Vec,0.05321,0.0306,-0.02164
SVC + Doc2Vec,0.04128,0.02186,-0.04642
SVC + GensimFastText,0.04727,0.0308,-0.03124
SVC + GensimLDA,0.04394,0.02827,-0.02863
SVC + GensimLSA,0.05048,0.02685,-0.03103
SVC + GensimRandomIndexing,0.04802,0.02922,-0.03058
SVC + SK-TFIDF,0.05231,0.0439,-0.01541
SVC + Sentence2Doc-Sbert,0.04179,0.03033,-0.0287
SVC + Word2Doc-GloVe,0.04389,0.03141,-0.03766
SVC + Word2Vec,0.05327,0.02537,-0.03673
