ID (Field: tags),NDCG@5 (TR),NDCG@10 (TR)
Centroid Vector + Doc2Vec,0.8895,0.9516
Centroid Vector + GensimFastText,0.8765,0.9456
Centroid Vector + GensimLDA,0.8682,0.9414
Centroid Vector + GensimLSA,0.8918,0.9527
Centroid Vector + GensimRandomIndexing,0.8916,0.9527
Centroid Vector + SK-TFIDF,0.8927,0.953
Centroid Vector + Sentence2Doc-Sbert,0.8859,0.9501
Centroid Vector + Word2Doc-GloVe,0.8862,0.9499
Centroid Vector + Word2Vec,0.8796,0.9473
Logistic Regression + Doc2Vec,0.8735,0.944
Logistic Regression + GensimFastText,0.8694,0.9421
Logistic Regression + GensimLDA,0.8705,0.9427
Logistic Regression + GensimLSA,0.8939,0.9535
Logistic Regression + GensimRandomIndexing,0.8914,0.9522
Logistic Regression + SK-TFIDF,0.8963,0.9543
Logistic Regression + Sentence2Doc-Sbert,0.8821,0.9482
Logistic Regression + Word2Doc-GloVe,0.8656,0.9405
Logistic Regression + Word2Vec,0.8724,0.9436
Random Forest + Doc2Vec,0.8909,0.9518
Random Forest + GensimFastText,0.8849,0.949
Random Forest + GensimLDA,0.8728,0.9438
Random Forest + GensimLSA,0.8896,0.9515
Random Forest + GensimRandomIndexing,0.8897,0.9513
Random Forest + SK-TFIDF,0.8956,0.954
Random Forest + Sentence2Doc-Sbert,0.8888,0.951
Random Forest + Word2Doc-GloVe,0.891,0.9518
Random Forest + Word2Vec,0.8866,0.9498
SVC + Doc2Vec,0.8738,0.9433
SVC + GensimFastText,0.864,0.9387
SVC + GensimLDA,0.8611,0.9372
SVC + GensimLSA,0.8791,0.9453
SVC + GensimRandomIndexing,0.8776,0.9447
SVC + SK-TFIDF,0.8831,0.9468
SVC + Sentence2Doc-Sbert,0.8784,0.9451
SVC + Word2Doc-GloVe,0.8571,0.9355
SVC + Word2Vec,0.8651,0.9391
